Provience,City,CompanyShortName,IndustryField,Upper class of industry
香港,香港,云汉芯城（上海）互联网科技股份有限公司,电子商务,IT技术
香港,香港,北京市商汤科技开发有限公司,移动互联网,IT技术
香港,香港,深圳康隽财富管理有限公司,金融 · 企业服务,"IT技术,金融财经"
香港,香港,深圳市商汤科技有限公司,移动互联网,IT技术
香港,香港,深圳市大疆创新科技有限公司,移动互联网 · 硬件,"IT技术,电子制造"
香港,香港,深圳市鹰利科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
香港,香港,The Straits Network Limited,金融 · 企业服务,"IT技术,金融财经"
香港,香港,深圳市新动广告有限公司,移动互联网,IT技术
香港,香港,北京钱方银通科技有限公司,金融,金融财经
香港,香港,杭州赋优电子商务有限公司,电子商务,IT技术
香港,香港,硬蛋科技（北京）有限公司,移动互联网,IT技术
香港,香港,香港紐菲斯醫療科技有限公司,医疗健康 · 其他,生活服务
香港,香港,深圳华大基因研究院,移动互联网 · 数据服务,IT技术
香港,香港,深圳福迈斯科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
香港,香港,上海塔普仪器制造有限公司,移动互联网 · 其他,IT技术
香港,香港,Rancca limited,移动互联网 · 教育,"IT技术,生活服务"
