Provience,City,CompanyShortName,IndustryField,Upper class of industry
黑龙江,哈尔滨市,大成方略纳税人俱乐部股份有限公司,企业服务,IT技术
黑龙江,哈尔滨市,五八同城信息技术有限公司哈尔滨分公司,分类信息,IT技术
黑龙江,哈尔滨市,苏州持创信息科技有限公司,移动互联网,IT技术
黑龙江,哈尔滨市,北京持创信息技术有限公司,移动互联网,IT技术
黑龙江,哈尔滨市,格林豪泰酒店（中国）有限公司,生活服务,生活服务
黑龙江,哈尔滨市,哈尔滨安天科技股份有限公司,信息安全,IT技术
黑龙江,哈尔滨市,哈尔滨有道科技开发有限公司,移动互联网 · 教育,"IT技术,生活服务"
黑龙江,哈尔滨市,北京四达时代软件技术股份有限公司,文化娱乐 · 硬件,"电子制造,生活服务"
黑龙江,哈尔滨市,北京趣拿软件科技有限公司,移动互联网,IT技术
黑龙江,哈尔滨市,哈尔滨景蓝企业管理有限公司,移动互联网 · 招聘,"IT技术,生活服务"
黑龙江,哈尔滨市,北大医疗信息技术有限公司,医疗健康,生活服务
黑龙江,哈尔滨市,北京看看车科技有限公司,企业服务,IT技术
黑龙江,哈尔滨市,北京五八信息技术有限公司,招聘,生活服务
黑龙江,哈尔滨市,哈尔滨旗拓科技有限公司,移动互联网 · O2O,IT技术
黑龙江,哈尔滨市,深圳市百利财富信息咨询有限公司,电子商务 · 金融,"IT技术,金融财经"
黑龙江,哈尔滨市,北京正和岛信息科技有限公司,移动互联网 · 社交网络,IT技术
黑龙江,哈尔滨市,上海方付通商务服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
黑龙江,哈尔滨市,北京三快在线科技有限公司,移动互联网 · O2O,IT技术
黑龙江,哈尔滨市,五二（北京）科技有限公司,移动互联网 · 金融,"IT技术,金融财经"
黑龙江,哈尔滨市,深圳雪莲花网络有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
黑龙江,哈尔滨市,北京国双科技有限公司,数据服务,IT技术
黑龙江,哈尔滨市,天津五八到家生活服务有限公司,移动互联网 · O2O,IT技术
黑龙江,哈尔滨市,黑龙江银多资本金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
黑龙江,哈尔滨市,哈尔滨量子普天科技发展有限公司,移动互联网,IT技术
